Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
1000,Candor Chasma,Candor Chasma,Mars,810.61,-6.53,289.22,-4.28,-9.13,295.97,282.51,Planetocentric  +East  0 - 360,Europe,Latin,"Chasma, chasmata",CM,mc18,Approved,1973,57,Classical albedo feature name.,,10/1/2006
15034,Candor Colles,Candor Colles,Mars,37.38,-6.63,284.43,-6.57,-6.67,284.7,284.06,Planetocentric  +East  0 - 360,Europe,Latin,"Collis, colles",CO,mc18,Approved,18-Sep-12,57,Classical albedo feature name.,,9/18/2012
1001,Candor Labes,Candor Labes,Mars,134.94,-4.79,284.01,-4.44,-5.43,285.09,282.85,Planetocentric  +East  0 - 360,Europe,Latin,"Labes, labēs",LA,mc18,Approved,1988,57,"From classical albedo feature at 5N, 75W.",,10/1/2006
1002,Candor Mensa,Candor Mensa,Mars,116.56,-6.26,286.48,-5.33,-7.27,286.92,285.63,Planetocentric  +East  0 - 360,Europe,Latin,"Mensa, mensae",MN,mc18,Approved,1982,57,Classical albedo feature.,,10/1/2006
15093,Candor Sulci,Candor Sulci,Mars,73.36,-4.92,283.15,-4.6,-5.43,283.89,282.64,Planetocentric  +East  0 - 360,Europe,Latin,"Sulcus, sulci",SU,mc18,Approved,11-Mar-13,57,Classical albedo feature name.,,3/11/2013
1003,Cangwu,Cangwu,Mars,13.64,41.85,270.41,41.96,41.73,270.57,270.26,Planetocentric  +East  0 - 360,Asia,China,"Crater, craters",AA,mc03,Approved,1991,36,Town in China.,,11/17/2010
14569,Canillo,Canillo,Mars,33.93,10.23,116.48,10.51,9.94,116.77,116.19,Planetocentric  +East  0 - 360,Europe,Andorra,"Crater, craters",AA,mc14,Approved,1-Jul-09,36,Town in Andorra. ,,11/17/2010
14651,Cankuzo,Cankuzo,Mars,48.45,-19.42,52.03,-19.01,-19.83,52.47,51.6,Planetocentric  +East  0 - 360,Africa,Burundi,"Crater, craters",AA,mc21,Approved,4-Mar-10,36,Town in Burundi.,,11/17/2010
1006,Canso,Canso,Mars,26.42,21.36,299.38,21.59,21.14,299.61,299.13,Planetocentric  +East  0 - 360,North America,Canada,"Crater, craters",AA,mc10,Approved,1988,36,"Town in Nova Scotia, Canada.",,11/17/2010
1009,Cantoura,Cantoura,Mars,51.59,14.84,308.28,15.17,14.51,308.73,307.83,Planetocentric  +East  0 - 360,South and Central America,Venezuela,"Crater, craters",AA,mc10,Approved,1988,36,Town in Venezuela.,Double crater.,10/11/2011
14327,Capen,Capen,Mars,68.99,6.58,14.31,7.16,6,14.9,13.73,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,mc12,Approved,2-Jan-08,207,"Charles F., Jr; American astronomer (1926-1986).",,11/17/2010
1012,Capri Chasma,Capri Chasma,Mars,1471.56,-8.27,317.93,-1.87,-15,325.5,307.31,Planetocentric  +East  0 - 360,Europe,Latin,"Chasma, chasmata",CM,mc19,Approved,1973,57,Classical albedo feature name.,,10/1/2006
1013,Capri Mensa,Capri Mensa,Mars,282.35,-13.73,312.81,-12.16,-15.14,315.21,310.23,Planetocentric  +East  0 - 360,Europe,Latin,"Mensa, mensae",MN,mc18,Approved,2003,71,Classical albedo feature name.,,10/1/2006
15253,Caralis Chaos,Caralis Chaos,Mars,103.35,-37.2,178.6,-36.54,-38.12,179.83,177.64,Planetocentric  +East  0 - 360,Asia,Turkey,"Chaos, chaoses",CH,mc29,Approved,22-Sep-14,57,"After Caralis Fons, classical albedo feature named after Caralis Lacus, now Beysehir Gölü, in Isauria (Asia Minor).",,9/22/2014
15369,Cardona,Cardona,Mars,13.7,-19.65,328.02,-19.53,-19.76,328.14,327.89,Planetocentric  +East  0 - 360,South and Central America,Uruguay,"Crater, craters",AA,mc19,Approved,21-Aug-15,36,Town in Uruguay.,,8/21/2015
1034,Cartago,Cartago,Mars,36.57,-23.25,342.03,-22.94,-23.56,342.37,341.7,Planetocentric  +East  0 - 360,South and Central America,Costa Rica,"Crater, craters",AA,mc19,Approved,1976,36,Town in Costa Rica.,,11/17/2010
1041,Casius,Casius,Mars,0,39.67,100,39.67,39.67,100,100,Planetocentric  +East  0 - 360,Europe,Latin,Albedo Feature,AL,mc06,Approved,1958,60,Epithet of Zeus; for his two sanctuaries in Egypt/Arabia and Syria.,,10/1/2006
1046,Cassini,Cassini,Mars,408.23,23.35,32.11,26.8,19.91,35.86,28.36,Planetocentric  +East  0 - 360,Europe,Italy,"Crater, craters",AA,mc12,Approved,1973,68,Giovanni; Italian astronomer (1625-1712).,,11/17/2010
1051,Castril,Castril,Mars,2.19,-14.7,175.3,-14.68,-14.72,175.32,175.28,Planetocentric  +East  0 - 360,Europe,Spain,"Crater, craters",AA,mc23,Approved,2006,74,Town in Spain.,,11/17/2010
15440,Catota,Catota,Mars,1.3,51.67,333.02,51.68,51.66,333.04,333.01,Planetocentric  +East  0 - 360,Africa,Angola,"Crater, craters",AA,mc04,Approved,27-Nov-15,36,Village in Angola.,,11/27/2015
1084,Cave,Cave,Mars,8.2,21.61,324.36,21.68,21.55,324.44,324.29,Planetocentric  +East  0 - 360,Oceania,New Zealand,"Crater, craters",AA,mc11,Approved,1976,36,Town in New Zealand.,,11/17/2010
1088,Cavi Angusti,Cavi Angusti,Mars,640.04,-78.16,285.25,-72.59,-83.17,309.96,251.87,Planetocentric  +East  0 - 360,Europe,Greek,"Cavus, cavi",CB,mc30,Approved,1976,57,Classical albedo feature name.,,10/1/2006
1091,Caxias,Caxias,Mars,25.88,-28.95,259.32,-28.74,-29.17,259.57,259.07,Planetocentric  +East  0 - 360,South and Central America,Brazil,"Crater, craters",AA,mc17,Approved,1991,74,Town in Brazil.,,11/17/2010
15029,Cayon,Cayon,Mars,27.31,-35.93,113.62,-35.72,-36.13,113.9,113.33,Planetocentric  +East  0 - 360,North America,Saint Kitts and Nevis,"Crater, craters",AA,mc28,Approved,27-Aug-12,36,Town in Saint Kitts and Nevis.,,8/27/2012
1095,Cebrenia,Cebrenia,Mars,0,49.67,150,49.67,49.67,150,150,Planetocentric  +East  0 - 360,Europe,Latin,Albedo Feature,AL,mc07,Approved,1958,60,Main country of the Trojan Plain.,,10/1/2006
1096,Cecropia,Cecropia,Mars,0,59.71,40,59.71,59.71,40,40,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc05,Approved,1958,60,Old name for Acropolis; used to mean Athens.,,10/1/2006
14186,Cefalù,Cefalu,Mars,5.53,23.64,321.11,23.68,23.59,321.16,321.06,Planetocentric  +East  0 - 360,Europe,Italy,"Crater, craters",AA,mc11,Approved,14-Sep-06,74,Town in Sicily.,,11/17/2010
1100,Centauri Montes,Centauri Montes,Mars,271,-38.67,95.52,-36.12,-40.49,97.8,94.48,Planetocentric  +East  0 - 360,Europe,Latin,"Mons, montes",MO,mc28,Approved,1991,,Albedo feature Centauri Lacus.,,10/1/2006
1103,Ceraunius,Ceraunius,Mars,0,19.78,267,19.78,19.78,267,267,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc09,Approved,1958,60,"""Thunderclap""; named for Ceraunii Mountains on coast of Epirus, Greece.",,10/1/2006
1104,Ceraunius Catena,Ceraunius Catena,Mars,50.49,37.1,251.91,37.5,36.7,252.09,251.73,Planetocentric  +East  0 - 360,Europe,Greek,"Catena, catenae",CA,mc03,Approved,1985,57,Named for classical albedo feature at 35N 96W.,,10/1/2006
1105,Ceraunius Fossae,Ceraunius Fossae,Mars,1166.63,27,249.85,38.12,18.52,255.74,246.95,Planetocentric  +East  0 - 360,Europe,Greek,"Fossa, fossae",FO,mc09,Approved,1973,57,Classical albedo feature name,,10/1/2006
1106,Ceraunius Tholus,Ceraunius Tholus,Mars,128.58,24,262.75,24.83,23.19,263.93,261.56,Planetocentric  +East  0 - 360,Europe,Greek,"Tholus, tholi",TH,mc09,Approved,1973,57,Classical albedo feature name.,,10/1/2006
1107,Cerberus,Cerberus,Mars,0,14.83,155,14.83,14.83,155,155,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc15,Approved,1958,60,Hound who had 3 heads; guarded gates of hell.,,10/1/2006
1108,Cerberus Dorsa,Cerberus Dorsa,Mars,623.05,-13.74,105.29,-9.18,-18.28,108.78,101.51,Planetocentric  +East  0 - 360,Europe,Greek,"Dorsum, dorsa",DO,mc22,Approved,1982,57,Classical albedo feature name.,,10/1/2006
1109,Cerberus Fossae,Cerberus Fossae,Mars,1235,11.28,166.37,16.16,6.23,174.72,154.43,Planetocentric  +East  0 - 360,Europe,Greek,"Fossa, fossae",FO,mc15,Approved,1997,57,"From albedo feature at 10n, 212W. Changed from Cerberus Rupes.",Extent of this feature expanded 10/11/2007.,10/11/2007
14162,Cerberus Palus,Cerberus Palus,Mars,466.68,5.78,148.15,8.98,1.03,152.47,144.58,Planetocentric  +East  0 - 360,Europe,Greek,"Palus, paludes",PA,mc15,Approved,2006,71,Classical albedo feature name.,,10/1/2006
