Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
317,Aphrodite Terra,Aphrodite Terra,Venus,10000,-5.8,104.8,9.4,-11.2,178,12.2,Planetocentric  +East  0 - 360,Europe,Greek,"Terra, terrae",TA,v35,Approved,1979,1,Greek goddess of love.,,10/1/2006
318,Api Mons,Api Mons,Venus,190,38.9,54.7,39.5,38.1,55,54.5,Planetocentric  +East  0 - 360,Europe,Scythia,"Mons, montes",MO,v09,Approved,1985,27,Scythian goddess of earth.,,12/30/2008
322,Apisuahts Vallis,Apisuahts Vallis,Venus,550,-66.5,17,-66.5,-66.5,17,17,Planetocentric  +East  0 - 360,North America,Algonquin,"Vallis, valles",VA,v56,Approved,1997,107,Blackfoot/Algonquin name for planet Venus.,,10/1/2006
340,Aramaiti Corona,Aramaiti Corona,Venus,350,-26.3,82,-26.3,-26.3,82,82,Planetocentric  +East  0 - 360,Asia,Persian,"Corona, coronae",CR,v46,Approved,1994,1,Persian fertility goddess.,,10/1/2006
343,Aranyani Chasma,Aranyani Chasma,Venus,718,69.3,74.4,72,67.3,74.8,72.9,Planetocentric  +East  0 - 360,Asia,India,"Chasma, chasmata",CM,v03,Approved,1985,65,Indian forest goddess.,,10/1/2006
354,Ardwinna Chasma,Ardwinna Chasma,Venus,500,21,197,21,21,197,197,Planetocentric  +East  0 - 360,Europe,Celtic,"Chasma, chasmata",CM,v26,Approved,1997,107,Continental Celtic wildwood goddess.,,10/1/2006
360,Arev Dorsa,Arev Dorsa,Venus,420,-52,216,-52,-52,216,216,Planetocentric  +East  0 - 360,Asia,Armenian,"Dorsum, dorsa",DO,v59,Approved,2000,65,Armenian female solar deity.,,12/30/2008
366,Argimpasa Fluctus,Argimpasa Fluctus,Venus,950,0,175.5,0,0,175.5,175.5,Planetocentric  +East  0 - 360,Europe,Scythia,"Fluctus, fluctūs",FL,,Approved,1997,65,Scythian goddess of love.,,12/30/2008
374,Ariadne,Ariadne,Venus,23.6,43.9,360,43.9,43.7,359.8,0.2,Planetocentric  +East  0 - 360,Europe,Greek,"Crater, craters",AA,,Approved,1985,43,Greek first name.,Central peak in this crater defines zero degrees longitude.,1/4/2008
376,Arianrod Fossae,Arianrod Fossae,Venus,715,37,239.9,39.9,34.2,242.2,238.1,Planetocentric  +East  0 - 360,Europe,Celtic,"Fossa, fossae",FO,v15,Approved,1985,65,Celtic warrior queen.,,10/1/2006
400,Artemis Chasma,Artemis Chasma,Venus,3087,-41.2,138.5,-28.9,-33.4,143.3,121.7,Planetocentric  +East  0 - 360,Europe,Greek,"Chasma, chasmata",CM,v48,Approved,1982,1,Greek goddess of hunt/moon.,,10/1/2006
401,Artemis Corona,Artemis Corona,Venus,2600,-35,135,-35,-35,135,135,Planetocentric  +East  0 - 360,Europe,Greek,"Corona, coronae",CR,v48,Approved,1994,1,Named from associated chasma.,,10/1/2006
404,Artio Chasma,Artio Chasma,Venus,450,-35.5,39,-35.5,-35.5,39,39,Planetocentric  +East  0 - 360,Europe,Celtic,"Chasma, chasmata",CM,v45,Approved,1997,107,Celtic wildlife bear-goddess.,,10/1/2006
