Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
4532,Ovid,Ovid,Mercury,41,-69.77,339.77,-69.33,-70.21,341.15,338.39,Planetocentric  +East  0 - 360,Europe,Roman,"Crater, craters",AA,H-15,Approved,1976,59,Publius Ovidius Naso; Roman poet (43 B.C.-A.D. 17).,,10/12/2016
15113,Paestum Vallis,Paestum Vallis,Mercury,96,60.28,126.04,61.13,59.29,128.37,124.18,Planetocentric  +East  0 - 360,Europe,Italy,"Vallis, valles",VA,H-04,Approved,30-Apr-13,59,Ancient city in the Campania region of Italy.,,10/12/2016
15103,Pahinui,Pahinui,Mercury,54,-28.16,146.79,-27.52,-28.79,147.51,146.07,Planetocentric  +East  0 - 360,Oceania,Hawaii,"Crater, craters",AA,H-13,Approved,15-Mar-13,293,Charles Phillip Kahahawai “Gabby”; Hawaiian musician (1921-1980).,,10/12/2016
15135,Palmer Rupes,Palmer Rupes,Mercury,274,-26.07,253.72,-23.48,-27.85,254.99,250.34,Planetocentric  +East  0 - 360,North America,United States,"Rupes, rupēs",RU,H-12,Approved,3-Jun-13,301,American; ice-breaking ship dedicated to scientific research and operated by the National Science Foundation for Antarctic scientific missions since 1992.,,10/12/2016
14396,Pantheon Fossae,Pantheon Fossae,Mercury,311,30.19,162.83,33.84,26.53,167.06,158.6,Planetocentric  +East  0 - 360,Europe,Roman,"Fossa, fossae",FO,H-04,Approved,8-Apr-08,59,"Classic domed Roman building begun in 27 BC by Marcus Agrippa, and rebuilt by Hadrian between AD 118 and 128.",,10/12/2016
15558,Papsukkal Planitia,Papsukkal Planitia,Mercury,810,-16.25,88.37,-8.85,-22.08,95.81,77.45,Planetocentric  +East  0 - 360,Asia,Akkadian (Accadian),"Planitia, planitiae",PL,H-09,Approved,14-Mar-17,174,Akkadian messenger god.,,3/14/2017
15235,Paramour Rupes,Paramour Rupes,Mercury,616,-0.08,147.46,5.64,-5.97,147.95,144.96,Planetocentric  +East  0 - 360,Europe,England,"Rupes, rupēs",RU,H-08,Approved,12-Feb-14,330,"English; research vessel of the Royal Navy used to study magnetism, longitude, and navigation problems, commanded by Edmond Halley from 1698 to 1699.",,10/12/2016
14969,Pasch,Pasch,Mercury,37,46.12,134.75,46.55,45.69,135.33,134.17,Planetocentric  +East  0 - 360,Europe,Sweden,"Crater, craters",AA,H-04,Approved,24-Apr-12,210,Ulrica Fredrica; Swedish painter (1735-1796).,,10/12/2016
4647,Pentas,Pentas,Mercury,0,5,50,5,5,50,50,Planetocentric  +East  0 - 360,Europe,Roman,Albedo Feature,AL,H-10,Approved,1976,60,Albedo feature; Antoniadi map.,,3/7/2011
14970,Petipa,Petipa,Mercury,12,11.54,21.05,11.68,11.39,21.2,20.9,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-10,Approved,24-Apr-12,75,Marius; French and Russian choreographer and dancer (1818-1910).,,10/12/2016
15104,Petőfi,Petofi,Mercury,61,-83.55,119.35,-82.82,-84.28,125.87,112.83,Planetocentric  +East  0 - 360,Europe,Hungary,"Crater, craters",AA,H-15,Approved,15-Mar-13,75,Sándor; Hungarian poet (1823-1849).,,3/15/2013
4672,Petrarch,Petrarch,Mercury,167,-30.52,333.71,-28.56,-32.47,335.98,331.44,Planetocentric  +East  0 - 360,Europe,Italy,"Crater, craters",AA,H-11,Approved,1976,59,Francesco; Italian poet (1304-1374).,,10/12/2016
15023,Petronius,Petronius,Mercury,36,86.06,319.49,86.47,85.65,325.43,313.55,Planetocentric  +East  0 - 360,Europe,Roman,"Crater, craters",AA,H-01,Approved,6-Aug-12,59,Gaius Petronius Arbiter; Roman author (d. 66 ).,,8/6/2012
4682,Phaethontias,Phaethontias,Mercury,0,0,193,0,0,193,193,Planetocentric  +East  0 - 360,Europe,Roman,Albedo Feature,AL,H-08,Approved,1976,60,"Albedo name for H-8, Tolstoj region.",,3/7/2011
4686,Phidias,Phidias,Mercury,168,8.97,210.27,10.94,6.99,212.26,208.29,Planetocentric  +East  0 - 360,Europe,Greek,"Crater, craters",AA,H-08,Approved,1976,59,Greek sculptor (fl. c. 490-430 B.C.).,,10/12/2016
4693,Philoxenus,Philoxenus,Mercury,87,-8.68,248.25,-7.66,-9.7,249.28,247.22,Planetocentric  +East  0 - 360,Europe,Greek,"Crater, craters",AA,H-07,Approved,1976,59,Greek lyric poet (436-380 B.C.).,,10/12/2016
14645,Picasso,Picasso,Mercury,134,3.44,50.24,5.01,1.86,51.82,48.66,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-10,Approved,3-Mar-10,211,Pablo; Spanish painter and sculptor (1881-1973).,,10/12/2016
4725,Pieria,Pieria,Mercury,0,0,90,0,0,90,90,Planetocentric  +East  0 - 360,Europe,Roman,Albedo Feature,AL,H-09,Approved,1976,60,Albedo name for unimaged H-10 region.,,3/7/2011
4726,Pigalle,Pigalle,Mercury,153,-37.65,350.36,-35.8,-39.48,352.72,347.99,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-11,Approved,1976,59,Jean Baptiste; French sculptor (1714-1785).,,10/12/2016
15395,Plath,Plath,Mercury,35,37.86,321.16,38.27,37.45,321.65,320.67,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,H-02,Approved,25-Sep-15,59,Sylvia; American poet (1932-1963).,,10/12/2016
14797,Pleias,Pleias,Mercury,0,15,220,15,15,220,220,Planetocentric  +East  0 - 360,Europe,Roman,Albedo Feature,AL,H-07,Approved,1976,60,Albedo feature; Antoniadi map.,Name corrected from Pleias Gallia.,1/28/2011
4767,Po Chü-I,Po Chu I,Mercury,70,-6.94,194.72,-6.12,-7.77,195.55,193.89,Planetocentric  +East  0 - 360,Asia,China,"Crater, craters",AA,H-08,Approved,1976,59,Chinese poet (772-846).,,10/12/2016
14517,Poe,Poe,Mercury,77,43.76,159.1,44.69,42.82,160.33,157.87,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,H-04,Approved,20-Nov-08,75,"Edgar Allan; American poet, critic, editor and author (1809-1849).",,10/12/2016
4787,Polygnotus,Polygnotus,Mercury,124,-0.13,290.74,1.32,-1.59,292.2,289.28,Planetocentric  +East  0 - 360,Europe,Greek,"Crater, craters",AA,H-06,Approved,1976,59,Greek painter (c. 500-400 B.C.).,,10/12/2016
15085,Popova,Popova,Mercury,34,-34.72,293.27,-34.28,-35.09,293.73,292.81,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,H-11,Approved,19-Dec-12,210,Lyubov; Russian painter and designer (1889-1924).,,10/12/2016
4813,Pourquoi-Pas Rupes,Pourquoi Pas Rupes,Mercury,164.65,-58.54,203.83,-56.5,-59.4,206.93,201.11,Planetocentric  +East  0 - 360,Europe,France,"Rupes, rupēs",RU,H-12,Approved,1976,80,"French; Charcot's ship to explore Antarctica, 1908-10.",,3/7/2011
4768,Po Ya,Po Ya,Mercury,101,-45.92,339.83,-44.73,-47.1,341.53,338.12,Planetocentric  +East  0 - 360,,,"Crater, craters",AA,H-11,Approved,1976,80,(8th century B.C.).,,10/12/2016
4820,Praxiteles,Praxiteles,Mercury,198,27.11,299.72,29.43,24.77,302.33,297.1,Planetocentric  +East  0 - 360,Europe,Greek,"Crater, craters",AA,H-02,Approved,1979,59,Greek sculptor (fl. 370-330 B.C.).,,10/12/2016
15024,Prokofiev,Prokofiev,Mercury,112,85.77,62.92,87.06,84.49,80.62,45.22,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,H-01,Approved,6-Aug-12,75,Sergey; Russian composer (1891-1953).,,8/6/2012
4854,Proust,Proust,Mercury,145,19.56,312.41,21.26,17.85,314.21,310.6,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-06,Approved,1976,59,Marcel; French novelist (1871-1922).,,10/12/2016
4863,Puccini,Puccini,Mercury,76,-65.39,314.68,-64.49,-66.29,316.84,312.52,Planetocentric  +East  0 - 360,Europe,Italy,"Crater, craters",AA,H-15,Approved,1976,59,Giacomo; Italian composer (1858-1924).,,10/12/2016
4873,Purcell,Purcell,Mercury,87.67,80.43,207.79,81.46,79.4,214,201.59,Planetocentric  +East  0 - 360,Europe,England,"Crater, craters",AA,H-01,Approved,1979,59,Henry; English composer (c. 1659-1695).,,3/7/2011
4877,Pushkin,Pushkin,Mercury,232,-65.79,339.27,-63.28,-68.23,345.33,333.21,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,H-15,Approved,1976,59,Alecksandr Sergeyevich; Russian poet (1799-1837).,,10/12/2016
14518,Qi Baishi,Qi Baishi,Mercury,15,-4.31,164.37,-4.13,-4.48,164.54,164.19,Planetocentric  +East  0 - 360,Asia,China,"Crater, craters",AA,H-08,Approved,20-Nov-08,217,Qi Baishi; Chinese painter (1864-1957).,,10/12/2016
15027,Qiu Ying,Qiu Ying,Mercury,20,82.67,274.3,82.9,82.43,276.13,272.46,Planetocentric  +East  0 - 360,Asia,China,"Crater, craters",AA,H-01,Approved,6-Aug-12,59,(Ch'iu Ying); Chinese painter (1494-1552).,,10/12/2016
4910,Rabelais,Rabelais,Mercury,154,-60.53,298.19,-58.71,-62.32,301.8,294.58,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-11,Approved,1976,59,Francois; French writer (c. 1483-1553).,,10/12/2016
14653,Rachmaninoff,Rachmaninoff,Mercury,305,27.66,57.37,31.23,24.06,61.2,53.54,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,H-05,Approved,18-Mar-10,233,"Sergei V.; Russian composer, pianist, and conductor (1873-1943).",,10/12/2016
14519,Raden Saleh,Raden Saleh,Mercury,23,2.07,158.83,2.34,1.81,159.1,158.57,Planetocentric  +East  0 - 360,Asia,Indonesia,"Crater, craters",AA,H-08,Approved,20-Nov-08,211,Raden Saleh; Javanese painter (1807-1880).,,10/12/2016
14387,Raditladi,Raditladi,Mercury,258,27.15,119.06,30.17,24.12,122.46,115.66,Planetocentric  +East  0 - 360,Africa,Botswana,"Crater, craters",AA,H-04,Approved,8-Apr-08,209,Leetile Disang; Botswanan playwright and poet (1910-1971).,,10/12/2016
