Feature_Type_Code,Feature_Type,color
AA,"Crater, craters",#17A483
AL,Albedo Feature,#EB66CE
CA,"Catena, catenae",#33EF99
DO,"Dorsum, dorsa",#2B6720
FO,"Fossa, fossae",#6E0567
MO,"Mons, montes",#5B4AD4
PL,"Planitia, planitiae",#0E141E
PM,"Planum, plana",#D4F278
RU,"Rupes, rupÄs",#3330A2
VA,"Vallis, valles",#CEAB2A
